#;sport_type;Other;age;usage_frequency;usage_reason_regeneration;usage_reason_tension;usage_reason_injury;usage_reason_pain;usage_reason_existing_condition;usage_phase;application_method;product_evaluation_effectiveness;product_evaluation_likelihood_of_recommendation;effectiveness_rating;product_purity_rating;Wissenschaftlich fundiert;100% Wirkstoffe, 0% Füllstoffe;Entwickelt in Deutschland - Hergestellt in Österreich;100% natürlich und Bio-zertifiziert;Einfach & schnell anzuwenden;Etabliert im Profisport;Zieht gut ein & fettet nicht;Other;recommendation_likelihood;reason_effectiveness;Ich habe doch keinen Bedarf;reason_price;Die Flasche ist in der Anwendung unpraktisch;importance_of_price;Wie viel wärst du bereit, maximal für den 50 ml Muscle Complex zu zahlen?;Wie lange kommst du in der Regel mit einer 50 ml Flasche aus?;Wenn du kostenlos unbegrenzt Muscle Complex zu Hause hättest – würdest du ihn häufiger nutzen?;Ab welchem Preis würdest du ihn vermutlich häufiger und ohne Zögern verwenden – so, wie’s für dich eigentlich am besten wäre?;Hast du noch weiteres Feedback zu unseren Produkten oder zum Service?;;;;;;;
a2zjdxf73px06ge5s8a2zj9f0e9b5lq0;Triathlon;;35–44 Jahre;1-2x im Monat;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;Verspannungen lösen;;;;Nur in der direkten Wettkampfvorbereitung (z.B. Marathon);Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;6;4;7;Spürbare Wirkung;Wissenschaftlich fundiert;;;;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;6;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;Kann ich schwer einschätzen;;;;;;;;
xuv1phbj6iwg65byxuviuubgddo0ewex;Laufen;;;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;;Nur in der direkten Wettkampfvorbereitung (z.B. Marathon);Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;6;4;9;;;;Entwickelt in Deutschland - Hergestellt in Österreich;100% natürlich und Bio-zertifiziert;;;;;7;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
wartc4owttp9702wartc4iyj99d4aie5;Laufen;;35–44 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;Bestehenden Muskelkater loswerden;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;6;5;10;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;100% natürlich und Bio-zertifiziert;Einfach & schnell anzuwenden;;;;7;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;Kann ich schwer einschätzen;;;;;;;;
2sne89ku7mmbu2sne4ww2tr9y9xys0x2;Laufen;;45–54 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;Nur in der direkten Wettkampfvorbereitung (z.B. Marathon);Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;6;4;7;Spürbare Wirkung;Wissenschaftlich fundiert;;;;;Etabliert im Profisport;;;6;;;;;;;1 Monat;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;Der Preis schreckt ab alle Produkte mal auszuprobieren;;;;;;;
vwgtujyh9bi8809cvwgtuafo8qecbwf0;Triathlon;;35–44 Jahre;3-4x pro Woche;;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;6;3;8;;;;;100% natürlich und Bio-zertifiziert;;;;;6;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;39,90 €;;;;;;;;
lv7o03aqkrk16cv5u9lv7o0q2zgpzm57;Triathlon;;45–54 Jahre;5-7x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;Bestehenden Muskelkater loswerden;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;5;2;5;;;100% Wirkstoffe, 0% Füllstoffe;;100% natürlich und Bio-zertifiziert;Einfach & schnell anzuwenden;;;;5;;Ich habe doch keinen Bedarf;;;10;29,90€ oder weniger;weniger als 1 Monat;Vielleicht – ich hätte gerne noch mehr Tipps, wann die Anwendung sinnvoll ist;;;;;;;;;
4m5dp1w2hh4nvhz34m5ojb27fthsdgoj;Laufen;;35–44 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;6;5;9;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;;;;;;7;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;Ich nutz es auch bei Bandscheiben Problemen, einfach Verspannungen usw bin aber sehr sparsam, das Produkt ist wirklich toll aber in der aktuellen Zeit ist es echt schwierig sich allgemein Sachen zu leisten.;;;;;;;
mmvjnqy6up0avffmmvjnhbgk48k2n56h;Laufen;;55–64 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;Bestehenden Muskelkater loswerden;Nur bei Beschwerden;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;6;4;8;;Wissenschaftlich fundiert;;;;;;;;7;;;;;;;5-6 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;Kann ich schwer einschätzen;;;;;;;;
bzx5co4f4w781evjdrkbzx5ct1yzz20l;Laufen;;25–34 Jahre;5-7x pro Woche;;;Verletzungen vorbeugen;;;Nur in der direkten Wettkampfvorbereitung (z.B. Marathon);Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;6;3;8;;Wissenschaftlich fundiert;;;;;;;;4;;;Der Preis ist mir zu hoch;;10;29,90€ oder weniger;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
2gki0rervc3ou9dey16bg2gki0tnniyl;Rennrad;;45–54 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;Verspannungen lösen;;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;5;3;6;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;5;;;Der Preis ist mir zu hoch;;9;34,90 €;1 Monat;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
28ix4j89v66gbqln28ix4g1ojzqcbgwl;Laufen;;25–34 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;Verspannungen lösen;;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;7;4;9;Spürbare Wirkung;;;Entwickelt in Deutschland - Hergestellt in Österreich;100% natürlich und Bio-zertifiziert;Einfach & schnell anzuwenden;;;;7;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;;;;;;;;
h5qouto8speuiv2kh5qouhtjdb6t9v2t;;Tennis;35–44 Jahre;1-2x im Monat;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;Bestehenden Muskelkater loswerden;;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;5;3;7;Spürbare Wirkung;;;;;;;Zieht gut ein & fettet nicht;;5;;;Der Preis ist mir zu hoch;;10;Kann ich schwer einschätzen;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
ex8b7i5ajm52utjouex8bdrtkljesxw0;Laufen;;45–54 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;Verspannungen lösen;;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;7;6;9;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;7;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;;;;;;;;
n8ekk6h4359is0pu7jn8ekk9j2qhcp5u;Laufen;;35–44 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;7;3;7;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;;;;Zieht gut ein & fettet nicht;;6;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;;;;;;;;
dk0ir6zjdi8qf41omxtdk0iriznzdqpe;Laufen;;18–24 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;Bestehenden Muskelkater loswerden;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;5;5;10;Spürbare Wirkung;;;;;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;7;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;;;;;;;;
7em3pwa7znmxex3epe17em3pdh0kuu5v;Laufen;;25–34 Jahre;1-2x pro Woche;;Verspannungen lösen;Verletzungen vorbeugen;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;4;3;7;;;;;;Einfach & schnell anzuwenden;;;;4;;;Der Preis ist mir zu hoch;;8;29,90€ oder weniger;1 Monat;Eher nicht – ich habe gar nicht mehr Bedarf;;;;;;;;;
k5bdr5soe9t8chx5uyhlkkbk5bdr5s2r;Muskelaufbau;;35–44 Jahre;5-7x pro Woche;;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);Bestehenden Muskelkater loswerden;Nur bei Beschwerden;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;5;3;9;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;;;;;;7;;;;;;;1 Monat;Vielleicht – ich hätte gerne noch mehr Tipps, wann die Anwendung sinnvoll ist;;;;;;;;;
qtyw8w16gbhp4kgqt6xs5pdllfi5owkk;Laufen;;25–34 Jahre;1-2x im Monat;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;;Nur in der direkten Wettkampfvorbereitung (z.B. Marathon);Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;6;3;8;Spürbare Wirkung;Wissenschaftlich fundiert;;;;;;Zieht gut ein & fettet nicht;;6;;;;;;;5-6 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
3ap86wc4estwfk5v3ap8si2vyf3ujvl3;Laufen;;65 Jahre oder älter;8x oder öfter pro Woche;;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;3;2;4;Spürbare Wirkung;;;;;Einfach & schnell anzuwenden;;;;5;Die Wirkung war mir nicht spürbar genug;;Der Preis ist mir zu hoch;;7;29,90€ oder weniger;1 Monat;Vielleicht – ich hätte gerne noch mehr Tipps, wann die Anwendung sinnvoll ist;;;;;;;;;
ehhq227xknvqnq93x3gehhq227x4txgh;Laufen;;25–34 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;Verspannungen lösen;;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;6;5;8;Spürbare Wirkung;;;;;Einfach & schnell anzuwenden;;;;7;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;Bisher sind alle Produkte sehr überzeugend, die meine Frau oder ich ausprobiert haben!;;;;;;;
87pfpy09iepvmj8ypdjs0b87pfpyf35t;Laufen;;35–44 Jahre;5-7x pro Woche;;Verspannungen lösen;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;7;5;10;Spürbare Wirkung;Wissenschaftlich fundiert;;;;;;;;7;;;;;;;weniger als 1 Monat;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;Danke 🙌🏻;;;;;;;
uorq6d7qk9skvu4xuuorqo0op5ftiz5v;Laufen;;25–34 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;5;3;8;Spürbare Wirkung;Wissenschaftlich fundiert;;;;;;;;7;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
foc9eodoozetx418ifoc9ei57fupx67r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fbmm0ul8oibh8gx674fbmm0uluf81z39;Laufen;;18–24 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;Bestehenden Muskelkater loswerden;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;6;5;10;Spürbare Wirkung;;;;;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;7;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;;;;;;;;
tqzwbfn9b8nw8ytqz4gmt3n4rkv48frw;Rennrad;;35–44 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;Bestehenden Muskelkater loswerden;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;4;5;8;Spürbare Wirkung;;;;;;Etabliert im Profisport;;;7;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;Super Produkte, weiter so!;;;;;;;
2kkua4hx9xqyzhw2kku07fqpw9hgyo0y;Triathlon;;25–34 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;;Nur in der direkten Wettkampfvorbereitung (z.B. Marathon);Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;2;2;2;;;;;;Einfach & schnell anzuwenden;Etabliert im Profisport;;;2;Die Wirkung war mir nicht spürbar genug;;Der Preis ist mir zu hoch;;9;29,90€ oder weniger;weniger als 1 Monat;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
fej7ocxxtkdaykdod21fej7z1xao2ok6;Laufen;;;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;Nur in der direkten Wettkampfvorbereitung (z.B. Marathon);Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;6;4;7;Spürbare Wirkung;;;Entwickelt in Deutschland - Hergestellt in Österreich;;Einfach & schnell anzuwenden;;;;5;;;Der Preis ist mir zu hoch;;8;34,90 €;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;;;;;;;;
yu0xh0uvgmrq8h0yu0xhjozmw4i9x864;Laufen;;25–34 Jahre;5-7x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;Bestehenden Muskelkater loswerden;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;7;5;9;Spürbare Wirkung;Wissenschaftlich fundiert;100% Wirkstoffe, 0% Füllstoffe;Entwickelt in Deutschland - Hergestellt in Österreich;100% natürlich und Bio-zertifiziert;Einfach & schnell anzuwenden;Etabliert im Profisport;Zieht gut ein & fettet nicht;;7;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
eupx27nolkzuyy8vh7d5gdnj7eupx27n;Laufen;;45–54 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;Bestehenden Muskelkater loswerden;Nur in der direkten Wettkampfvorbereitung (z.B. Marathon);Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;7;4;7;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;Entwickelt in Deutschland - Hergestellt in Österreich;100% natürlich und Bio-zertifiziert;Einfach & schnell anzuwenden;Etabliert im Profisport;Zieht gut ein & fettet nicht;;7;;;;;;;1 Monat;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
tcy7sv5gf4wa0mjtcy70318z4q31p0lh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2xom4tqqrrn0qn2vsbz28z72xom4tqe0;Laufen;;18–24 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;Bestehenden Muskelkater loswerden;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;5;5;10;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;;Einfach & schnell anzuwenden;;;;7;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;;;;;;;;
8dyrgito1fo0y48dyrctbsr319db1zpa;Fußball;;55–64 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;Verletzungen vorbeugen;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;6;4;8;Spürbare Wirkung;Wissenschaftlich fundiert;;;100% natürlich und Bio-zertifiziert;;;;;6;;;;;;;2 Monate;Vielleicht – ich hätte gerne noch mehr Tipps, wann die Anwendung sinnvoll ist;;;;;;;;;
uwmfn0l3uwodej5smtruwmfn0l39ttc9;Laufen;;35–44 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;Bestehenden Muskelkater loswerden;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;6;5;10;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;;;;;;7;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
4n54cdhrp1p85qdnc2otmqdd4n54cdhr;Laufen;;35–44 Jahre;8x oder öfter pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;5;4;8;;;100% Wirkstoffe, 0% Füllstoffe;;;;;Zieht gut ein & fettet nicht;;7;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;;;;;;;;
97zov6a8279nbk3h97zoi33vqju2jdze;Laufen;;35–44 Jahre;5-7x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;5;4;10;;;;;;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;7;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;Kann ich schwer einschätzen;;;;;;;;
